Date,Platform,E-Mail,Password
2025-10-11,steam,randomuser404@gmail.com,gAAAAABo6lbUQWEJeMSsWoT83RHtAoQKGCmo0YQgvo_YfJf3QMc8fxD6rmnKH1vSCa_HwfKvnvt35RvZB3nHp4vxJ32XnTAUhXGs5dGdVqpnUdNh7rYd4HE=
2025-10-11,steam,demouser@gov.in,gAAAAABo6lsb2ROG5hjBeYoO8AIwt4mYC-a3JJM5GvhMFcrlCbY9mxxOqRR_S4VbEwPZ9kCjYrD9poNCsyn6R8YMvyZsePJJHFpt8MqTW_8-RClJBro2irdBxtAIrEMS65ri0I39GAtk
2025-10-11,github,foobar404@gmail.com,gAAAAABo6ltDYCgm_qBA1TitPQHE9-qzOpc7lWPdpjgDjCLnB0KThC2PBY9GuD3FJcMgghZy4n8RRj9qUE52I747q9ruRFK9N_zinXlNlXTMW9xjppozwuQ=
2025-10-11,rockstar games,demouser405@gmail.com,gAAAAABo6lugQHg0yvqt_toL-KmQ9a5An7khW3NGidsHjJrrN6N9wM9RN8VQ1n1pQRFZmae40Ve9vYig47tobsJxVqJ-cRBzYWR2QNhupKRAPNBfNNqBDT1-ZCsf_MuVE7atOc6R3nmZaVnuhEI4kBR2JE2aL43Gug==
2025-10-11,steam,demouser467@gov.in,gAAAAABo6l0o-Nm8moLkjKuabxuO3RJGvJjsvKU7ePnoySznNlVxY83UcamKV2f1jtmdYANukRWZpbrX95abySYgyOuMbLz-3lA5OXBQzyK-2-9G-bhYVHEN6pTY3V2dfDKym9wxSIiP
2025-10-15,steam,demouser333@gmail.com,gAAAAABo7qZ3aCjehdG_jqvN6GaHk2DNLTJ6cGXU2r8xFc3S982Ur1rd2Y7mKLx4vk2gcqWnaVcIXCjJY3MWQomwZi89vdip-gyI5MuIAQI5RlygrFDUghI=
2025-10-16,steam,,gAAAAABo8QgQnPbR8BaHh_3Y3hkm0rNbfD0phQHwnY0WbCPHl0ie6sZ6lhV99FGk1E9CwMP9GW0dXIZkAUW5pZh08yaAKHRghPZepQznOXkmVFlFVSwCrYEB78SrtkrXWI7_R44cZn1oDKAIuW3NhATTWdhW4o4Oux7alob4eLXvVFFeHbFy6P8jcrpUT2Otz6mkrVwIKnwB8PUT6DjmCeRxnRSNBOozlg==
2025-10-15,steam,demouser@gmail.com,gAAAAABo73HILezEKSsaI6TJ0re-PogIeQIutNzk39-4NKrA0z-BNoVTdkEJNozUiOCMWypS4oQTcc3rZA2P5ohKL6oNS8DCyVCgCa8pc0nTafChqQZVVRt_1St6FmHb07WFkFcwCvPVYMRULgDLE0AtUke8Ci26Ew==
2025-10-15,github,user12@gov.in,gAAAAABo73IFoIEguJrCcouk8xmdCoMLUml37F_qaoLRdcebv47y3r6ijbsPcxF9WjuCPHBa_KY9gYCel5P4RgQ5YQ1J-NEFKII0FVa6c2qGPY0ptdmxX_HbB1BL6qYA2BSX95TdKRjS
2025-10-15,steam,user323@srm.edu,gAAAAABo73Iq0ZWJo9Sfv4thMbr3U7c9kHeZ6N_syDppGp7Osx7ZWrPqQwFwKtQzfdTNo6-Ryo4DxaHuFYeIJk88Gzd_wT2ncxsb2iOhrBJqWkXZB8yiHN4SLkp1ki9SbTAgxxmxfzO9BtscUZf_MyuVZSC3HYUJoQ==
2025-10-15,epic games,user232@srm.edu,gAAAAABo73Tsb8bk9UuaGX37AhQfvtkdfvn26tof-NItr1u0FIFGrS7LqYPbmdh9eYKIdSNLnXlFzgGzEPQn7gvR4wnSyuq37mZCE4Ll1XEZZDMWtyN0KIzQTXZDQ_e88THCjDL7SIeS
2025-10-16,steam,apurve@gmail.com,gAAAAABo8OLWroagnAQPpyk7f3Y91JfQXS9oZJu5AuMCsYnETqAPw_jgMPgxZo_Sipp2mINWCCxGMLzmIsvexy92iAQ1Dxm8AxZrtYwU0u9KbgDndGqov6PA5frwTccvAkumTemimrru6BxwuXRiIawynGj6UbqCPg==
2025-10-16,twitter,,gAAAAABo8Qds0NhlqaUv5N6kxzj5aH5gBQQsfQaTNxEgo3M4qSOHPePPQQSeqSHFfSSvYtxEXUmtKW5I8_DpTbY1R3dPPvH8Lg==
2025-10-16,spotify,,gAAAAABo8Qfajh2gjiw3CDkTmAVkpF32Y5f_Q7xlgueZN7ThliPZBphKH_KsHV9p4Ic84hZug8gprhcaExnf2Ro6YEdJ5mGS4lFykxKystXtIpS6l4ef1n35rJ35llao5iPsdq7rhCzdJYa4lNLG_MuFrt7HPnuJfQ==
